Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"27,540,724,931.37",7.34,"27,540,724,931.37","143,958,627.00",191.31,United States,NASDAQ,USD,1.00,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"27,499,722,739.50",7.33,"27,499,722,739.50","72,779,470.00",377.85,United States,NASDAQ,USD,1.00,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"13,048,512,690.34",3.48,"13,048,512,690.34","88,940,854.00",146.71,United States,NASDAQ,USD,1.00,--
NVDA,NVIDIA CORP,Information Technology,Equity,"11,786,909,274.00",3.14,"11,786,909,274.00","24,195,150.00",487.16,United States,NASDAQ,USD,1.00,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"8,048,709,332.29",2.14,"8,048,709,332.29","58,117,621.00",138.49,United States,NASDAQ,USD,1.00,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"7,434,831,492.60",1.98,"7,434,831,492.60","21,771,740.00",341.49,United States,NASDAQ,USD,1.00,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"6,922,203,745.00",1.84,"6,922,203,745.00","49,437,250.00",140.02,United States,NASDAQ,USD,1.00,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"6,463,275,881.40",1.72,"6,463,275,881.40","17,864,223.00",361.80,United States,New York Stock Exchange Inc.,USD,1.00,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,335,245,829.25",1.69,"6,335,245,829.25","27,049,425.00",234.21,United States,NASDAQ,USD,1.00,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"4,934,036,914.24",1.31,"4,934,036,914.24","9,073,924.00",543.76,United States,New York Stock Exchange Inc.,USD,1.00,--
LLY,ELI LILLY,Health Care,Equity,"4,648,398,547.77",1.24,"4,648,398,547.77","7,811,253.00",595.09,United States,New York Stock Exchange Inc.,USD,1.00,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"4,364,821,497.18",1.16,"4,364,821,497.18","28,466,846.00",153.33,United States,New York Stock Exchange Inc.,USD,1.00,--
