Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"327,763,030.76",0.59,"327,763,030.76","1,143,386.00",286.66,United States,NASDAQ,USD,1.00,--
LNW,LIGHT WONDER INC,Consumer Discretionary,Equity,"196,461,371.61",0.35,"196,461,371.61","2,248,099.00",87.39,United States,NASDAQ,USD,1.00,--
RMBS,RAMBUS INC,Information Technology,Equity,"181,319,303.14",0.33,"181,319,303.14","2,685,814.00",67.51,United States,NASDAQ,USD,1.00,--
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"180,430,436.91",0.33,"180,430,436.91","180,430,437.00",1.00,United States,--,USD,1.00,--
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"172,342,920.86",0.31,"172,342,920.86","871,387.00",197.78,United States,New York Stock Exchange Inc.,USD,1.00,--
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"171,597,727.68",0.31,"171,597,727.68","1,056,116.00",162.48,United States,New York Stock Exchange Inc.,USD,1.00,--
CHRD,CHORD ENERGY CORP,Energy,Equity,"167,761,678.00",0.30,"167,761,678.00","1,041,998.00",161.00,United States,NASDAQ,USD,1.00,--
BRBR,BELLRING BRANDS INC,Consumer Staples,Equity,"167,293,912.72",0.30,"167,293,912.72","3,299,032.00",50.71,United States,New York Stock Exchange Inc.,USD,1.00,--
ONTO,ONTO INNOVATION INC,Information Technology,Equity,"164,483,214.20",0.30,"164,483,214.20","1,204,564.00",136.55,United States,New York Stock Exchange Inc.,USD,1.00,--
QLYS,QUALYS INC,Information Technology,Equity,"164,256,611.44",0.30,"164,256,611.44","916,406.00",179.24,United States,NASDAQ,USD,1.00,--
UFPI,UFP INDUSTRIES INC,Industrials,Equity,"163,889,273.34",0.30,"163,889,273.34","1,481,418.00",110.63,United States,NASDAQ,USD,1.00,--
MTDR,MATADOR RESOURCES,Energy,Equity,"162,818,978.86",0.29,"162,818,978.86","2,791,342.00",58.33,United States,New York Stock Exchange Inc.,USD,1.00,--
WFRD,WEATHERFORD INTERNATIONAL PLC,Energy,Equity,"162,303,819.51",0.29,"162,303,819.51","1,754,067.00",92.53,United States,NASDAQ,USD,1.00,--
SPSC,SPS COMMERCE INC,Information Technology,Equity,"157,255,882.65",0.28,"157,255,882.65","902,991.00",174.15,United States,NASDAQ,USD,1.00,--
MUR,MURPHY OIL CORP,Energy,Equity,"157,006,833.36",0.28,"157,006,833.36","3,696,888.00",42.47,United States,New York Stock Exchange Inc.,USD,1.00,--
